date_scraped,source,source_id,ad_url,ad_title,record_id,make_orig,model_orig,model_orig_details,model_orig_variant,price,currency,mileage,mileage_unit,production_year,chassis_no,engine_no,body_no,condition,color_exterior,color_interior,notes,country,region,bodystyle,engine,transmission,drive_type,gears,driver_side,auction_house,auction_event,fuel,kw,hp,cylinders_volume,cylinders_number,seats,doors,weight,options
,,,https://www.autoscout24.com/offers/porsche-911-2-7l-targa-gasoline-yellow-915509ce-8a7d-42a9-a7ac-592d399f742b,"Porsche 911 2,7l Targa",,porsche,911,,,74900,,"76,834 km",,09/1974,,,,Used,Sahara,Part leather,,United States,,Other,,Manual,Rear,5,,,,,110 kW (150 hp),150,"2,700 cc",6,4,2,,
,,OK,https://www.autoscout24.com/offers/porsche-996-3-6i-coupe-40-years-gasoline-silver-c6b318df-8a73-4b20-9812-9a06f3258a6d,Porsche 996 3.6i Coupé '40 Years',,porsche,996,,,53000,,"102,674 km",,06/2004,,,,Used,Silver,,Yes,Belgium,,Coupe,,Manual,Rear,6,,,,,254 kW (345 hp),345,"3,596 cc",6,4,2,"1,370 kg",Alloy wheels
,,OK,https://www.autoscout24.com/offers/porsche-944-turbo-gasoline-red-47d42b0e-d03d-4015-ab7b-031145c5877e,Porsche 944 TURBO,,porsche,944,,,24900,,"246,130 km",,12/1985,,,,Used,Granat rot,Cloth,Metallic,Germany,,Coupe,,Manual,Rear,5,,,,,162 kW (220 hp),220,"2,479 cc",4,4,2,,Sunroof
,,,https://www.autoscout24.com/offers/porsche-boxster-gasoline-grey-6afdb551-63b7-447d-bd21-0de87a32e4b3,Porsche Boxster,,porsche,boxster,,,23000,,"102,000 km",,01/2001,,,,Used,Grey,Full leather,Metallic,,,Convertible,,Automatic,Rear,5,,,,,162 kW (220 hp),220,,6,2,2,,Alarm systemCentral door lockCentral door lock with remote control
,,,https://www.autoscout24.com/offers/mg-mga-gasoline-red-831367a4-4c20-4bd5-8c1b-655d2bc6670c,MG MGA,,mg,mga,,,27000,,"5,081 km",,06/1960,,,,Used,Red,Full leather,2,,,Convertible,,,,4,,,,,70 kW (95 hp),95,,5,2,2,,Leather seats
,,OR34,https://www.autoscout24.com/offers/opel-speedster-roadster-2-2-limited-edition-number-3946-gasoline-black-f9c1930e-1cf5-45e2-a09d-ac1d439d70a0,Opel Speedster ROADSTER 2.2 *** LIMITED EDITION NUMBER 3946 ***,,opel,speedster,,,34950,,"41,521 km",,01/2003,,,,Used,Black,Part leather,Metallic,Belgium,,Convertible,,Manual,Rear,5,,,,,109 kW (148 hp),148,"2,197 cc",4,2,2,870 kg,Alloy wheelsSport seatsSport suspension
,,573,https://www.autoscout24.com/offers/jaguar-xj12-5-3-aut-pickerl-neu-gasoline-red-706617d9-9750-49f9-9403-74b150710f54,"Jaguar XJ12 5,3 Aut. Pickerl NEU",,jaguar,xj12,,,21980,,"77,049 km",,02/1986,,,,Antique / Classic,Rot,Full leather,,,,Sedan,,Automatic,Front,,,,,,211 kW (287 hp),287,"5,345 cc",,5,5,,Alloy wheels
,,21203127,https://www.autoscout24.com/offers/land-rover-defender-defender-diesel-green-444070fc-f4a4-4c2f-86e0-77427080e246,Land Rover Defender DEFENDER,,land rover,defender,,,21200,,"168,123 km",,06/2001,,,,Used,Verde,,Others,,,Compact,,Manual,,,,,,,90 kW (122 hp),122,"2,495 cc",,2,3,,
,,21201855,https://www.autoscout24.com/offers/ferrari-550-maranello-barchetta-pininfarina-1-of-448-gasoline-black-1e56dce8-ac4d-4706-832c-1564bcec6b9f,Ferrari 550 Maranello BARCHETTA PININFARINA- 1 of 448,,ferrari,550,,,490000,,"27,500 km",,12/2001,,,,Used,Nero,Full leather,Metallic,,,Convertible,,Manual,Rear,6,,,,,356 kW (484 hp),484,"5,474 cc",12,2,2,"1,765 kg",Alloy wheels
,,13994233,https://www.autoscout24.com/offers/bentley-turbo-r-gasoline-blue-6193141d-ef9e-44a8-9a1f-666128074a27,Bentley Turbo R,,bentley,turbo r,,,29900,,8 km,,03/1998,,,,Used,Azul,,Metallic,Spain,,Sedan,,Automatic,Rear,4,,,,,286 kW (389 hp),389,"6,750 cc",8,5,4,"2,430 kg",Alloy wheels
,,13994234,https://www.autoscout24.com/offers/mercedes-benz-280-c-gasoline-silver-7a506e0e-7035-431c-8f41-e58c64aa3d43,Mercedes-Benz 280 C,,mercedes-benz,280,,,39900,,"27,400 km",,08/1973,,,,Antique / Classic,Plata,,,Spain,,Coupe,,Automatic,,,,,,,,,"2,746 cc",,,2,,Air conditioning
,,21201684,https://www.autoscout24.com/offers/rover-mini-1-3i-cat-cabriolet-originale-conservata-gasoline-green-3b8a430b-7cc3-45ce-bd91-54b9271af39a,Rover MINI 1.3i cat Cabriolet *ORIGINALE* *CONSERVATA*,,rover,mini,,,29990,,"58,416 km",,06/1995,,,,Used,Verde,,Metallic,,,Convertible,,Manual,Front,4,,,,,46 kW (63 hp),63,"1,275 cc",4,4,2,745 kg,Alloy wheels
,,21201630,https://www.autoscout24.com/offers/mini-1300-cat-cabriolet-originale-conservata-414-esemplari-gasoline-green-c3578b23-a6e7-4079-9824-7d4931b29759,MINI 1300 cat Cabriolet *ORIGINALE*CONSERVATA*414 ESEMPLARI*,,mini,1300,,,29990,,"58,416 km",,06/1995,,,,Used,Verde,,Metallic,,,Convertible,,Manual,Front,4,,,,,46 kW (63 hp),63,"1,275 cc",4,4,2,745 kg,Alloy wheels
,,21201526,https://www.autoscout24.com/offers/ac-cobra-gardner-douglas-gd-350-gasoline-beige-abc9c414-0487-4595-bf4f-bdee52494f90,AC Cobra Gardner Douglas GD-350,,ac,cobra,,,94990,,"10,041 km",,01/1965,,,,Antique / Classic,Beige,Part leather,Others,,,Convertible,,Manual,Rear,5,,,,,278 kW (378 hp),378,"5,700 cc",8,2,2,910 kg,Alloy wheelsCatalytic Converter
,,21201619,https://www.autoscout24.com/offers/jeep-wrangler-4-0-cat-hard-top-eu-gpl-crs-finanziabile-gasoline-f7bf5c80-4f38-4442-87b2-f6c2a75eb84b,Jeep Wrangler 4.0 cat Hard top (EU) *GPL* *CRS* *FINANZIABILE*,,jeep,wrangler,,,23690,,"121,561 km",,03/1997,,,,Used,Viola,Full leather,Others,,,Off-Road/Pick-up,,Manual,4WD,5,,,,,130 kW (177 hp),177,"3,960 cc",6,4,3,"1,645 kg",Alloy wheelsCatalytic ConverterSpare tyreSport seats
